test_id,hypothesis,scenario,baseline,baseline_reward,stability_aware_reward,mean_difference,ci_low,ci_high,decision_limit,result,seeds
H1_noise,H1,Transient noise,dyna-q-plus,-0.27168,-0.16608,0.10559999999999996,0.055674000000000015,0.16040399999999994,0.0,supported,50
H2_two_routes,H2,Permanent change in two-routes,dyna-q-plus,-0.48389000000000004,-0.4927299999999999,-0.008839999999999994,-0.015299999999999989,-0.001849750000000001,-0.05,supported,50
H2_shortcut,H2,Permanent change in shortcut,dyna-q-plus,-0.3368999999999999,-0.37690000000000007,-0.039999999999999994,-0.06771999999999999,-0.01112925000000001,-0.05,inconclusive,50
H3_two_routes_stationary,H3,Stationary two-routes world,dyna-q-plus,-0.13282666666666668,-0.13706666666666664,-0.004239999999999999,-0.012626833333333334,0.004206666666666665,-0.05,supported,50
H3_shortcut_stationary,H3,Stationary shortcut world,dyna-q-plus,-0.5078666666666666,-0.4965533333333334,0.011313333333333326,0.004859833333333319,0.01755333333333333,-0.05,supported,50
H4_two_routes_return,H4,First 500 steps after return in two-routes,dyna-q-plus,-0.35967999999999994,-0.36776,-0.008080000000000002,-0.023922000000000002,0.0053599999999999984,0.0,inconclusive,50
H4_shortcut_return,H4,First 500 steps after return in shortcut,dyna-q-plus,-0.43339999999999995,-0.41847999999999996,0.014920000000000004,4.000000000000662e-05,0.029640999999999994,0.0,supported,50
