seed,H1_noise,H2_two_routes,H2_shortcut,H3_two_routes_stationary,H3_shortcut_stationary,H4_two_routes_return,H4_shortcut_return
50,0.0,-0.013999999999999957,-0.10750000000000001,0.0,0.0,-0.03199999999999997,0.10400000000000004
51,0.07799999999999999,-0.013500000000000012,0.0,0.0,0.0,-0.0020000000000000018,0.0
52,0.0,-0.00550000000000006,0.0,0.0,0.0,0.0020000000000000018,0.0
53,0.27,-0.012999999999999956,0.0,0.0,0.0,-0.006000000000000005,0.0
54,0.021999999999999992,0.0025000000000000022,-0.011999999999999955,0.0,0.0,-0.008000000000000007,0.0
55,0.348,0.0030000000000000027,-0.006500000000000006,0.0,0.0,0.02200000000000002,0.0020000000000000018
56,0.20199999999999999,-0.010499999999999954,0.0,0.0,0.0,0.0,0.0
57,0.0,-0.0005000000000000004,0.0,0.0,0.0,0.010000000000000009,0.0
58,-0.045999999999999985,-0.01200000000000001,-0.07500000000000001,0.0,0.0,-0.03400000000000003,0.07600000000000001
59,0.04799999999999999,-0.03250000000000003,-0.01150000000000001,0.0,0.0,-0.02200000000000002,0.0
60,0.12000000000000002,-0.026499999999999968,-0.139,0.0,0.0,0.0040000000000000036,0.0
61,0.022000000000000006,-0.017500000000000016,-0.011999999999999955,0.0,0.0,0.010000000000000009,0.06
62,0.04199999999999998,-0.033499999999999974,-0.04000000000000001,0.0,0.0,-0.03999999999999998,0.016000000000000014
63,0.0,-0.010999999999999954,0.0,0.0,0.0,0.0,0.0
64,0.021999999999999992,0.006500000000000006,-0.05149999999999999,0.0,0.0,0.055999999999999994,0.038000000000000034
65,0.354,0.008000000000000007,0.0,0.0,0.0,0.057999999999999996,0.0
66,0.068,-0.006999999999999951,-0.03899999999999998,0.0,0.0,0.0,0.0
67,0.5760000000000001,-0.004500000000000004,0.0,0.0,0.0,0.04600000000000004,0.0
68,0.18999999999999997,-0.0040000000000000036,0.0,0.0,0.0,0.016000000000000014,0.0
69,0.0,-0.014500000000000013,0.0,0.0,0.0,-0.014000000000000012,0.0
70,0.37,0.0010000000000000009,0.0,0.0,0.0,0.0,0.0
71,0.0,-0.014000000000000012,-0.03749999999999998,0.0,0.0,-0.010000000000000009,0.0
72,0.616,0.0030000000000000027,0.0,0.0,0.0,0.0,0.0
73,0.16,-0.02100000000000002,0.0,0.0,0.0,0.0020000000000000018,0.0
74,0.02600000000000001,-0.006500000000000006,0.0,0.0,0.0,0.040000000000000036,0.0
75,0.07800000000000001,-0.022499999999999964,-0.0665,0.0,0.0,0.028000000000000025,0.0
76,-0.03,-0.009000000000000008,0.0,0.0,0.0,0.02999999999999997,0.0
77,0.038000000000000006,-0.0005000000000000004,-0.0335,0.0,0.0,0.0,0.0040000000000000036
78,0.25,-0.019500000000000017,-0.046500000000000014,0.0,0.0,-0.062,0.0
79,0.35,-0.012500000000000011,0.0,0.0,0.0,-0.02400000000000002,0.0
80,0.168,-0.009000000000000008,-0.07900000000000001,0.0,0.0,0.016000000000000014,0.0
81,0.0,0.025999999999999968,0.0,0.0,0.0,0.06000000000000005,0.0
82,0.0,-0.018500000000000016,0.0,0.0,0.0,-0.055999999999999994,0.0
83,0.064,-0.0030000000000000027,0.0,0.0,0.0,-0.01200000000000001,0.0
84,0.09600000000000003,0.010000000000000009,-0.022499999999999992,0.0,0.0,0.040000000000000036,0.066
85,0.08199999999999999,-0.011499999999999955,-0.2035,0.0,0.0,0.006000000000000005,0.11800000000000005
86,0.19599999999999998,-0.026000000000000023,0.0,0.0,0.0,-0.02999999999999997,0.0
87,-0.013999999999999999,-0.0035000000000000586,0.0,0.0,0.0,0.014000000000000012,0.0
88,0.0,-0.009000000000000008,0.0,0.0,0.0,-0.01200000000000001,0.0
89,0.048000000000000015,-0.009000000000000008,0.0,0.0,0.0,-0.021999999999999964,0.0
90,-0.023999999999999994,0.003500000000000003,-0.025500000000000023,0.0,0.0,0.0040000000000000036,0.0
91,0.20599999999999996,-0.014999999999999958,0.0,0.0,0.0,-0.033999999999999975,0.0
92,0.158,-0.0010000000000000009,0.0,0.0,0.0,-0.008000000000000007,0.0
93,0.488,-0.01749999999999996,0.0,0.0,0.0,-0.008000000000000007,0.0
94,0.0,-0.02250000000000002,0.0,0.0,0.0,-0.013999999999999957,0.0
95,0.204,0.006500000000000006,0.0,0.0,0.0,0.019999999999999962,0.0
96,0.0020000000000000018,-0.010999999999999954,0.0,0.0,0.0,0.02799999999999997,0.0
97,0.246,0.016000000000000014,0.0,0.0,0.0,0.04199999999999998,0.0
98,0.12999999999999998,-0.024999999999999967,0.0,0.0,0.0,0.021999999999999964,0.0
99,0.018000000000000016,0.019999999999999962,0.0,0.0,0.0,0.02799999999999997,0.0
