seed,H1_noise,H2_two_routes,H2_shortcut,H3_stationary,H4_temporary_return
50,0.304,-0.025999999999999968,-0.0895,-0.03899999999999999,-0.04799999999999999
51,0.28600000000000003,0.045499999999999985,-0.010000000000000009,-0.0016666666666666496,0.01200000000000001
52,0.04400000000000001,-0.025000000000000022,-0.21700000000000003,-0.018666666666666665,0.0040000000000000036
53,0.538,-0.010999999999999954,-0.19399999999999998,0.00866666666666667,0.014000000000000012
54,0.196,-0.004500000000000004,0.15550000000000003,0.023333333333333345,-0.02200000000000002
55,0.07,0.026500000000000024,0.03999999999999998,-0.028999999999999998,0.008000000000000007
56,0.548,-0.0005000000000000004,0.007500000000000007,0.009666666666666657,0.0
57,-0.013999999999999985,0.009000000000000008,0.0,-0.04533333333333332,0.03200000000000003
58,-0.16199999999999998,0.0625,0.14099999999999996,-0.04133333333333333,-0.28400000000000003
59,0.144,-0.006000000000000005,-0.0050000000000000044,-0.033,-0.030000000000000027
60,0.516,-0.0015000000000000013,-0.14200000000000002,0.048333333333333325,-0.03799999999999998
61,0.41600000000000004,-0.013500000000000012,0.14800000000000002,0.020666666666666667,-0.01200000000000001
62,0.03799999999999998,-0.026499999999999968,-0.0315,0.01833333333333334,0.010000000000000009
63,0.16199999999999998,-0.012999999999999956,-0.030000000000000027,-0.04233333333333335,-0.07800000000000001
64,-0.048000000000000015,0.007000000000000006,-0.04099999999999998,0.015333333333333338,0.062
65,0.014000000000000012,0.009000000000000008,-0.008999999999999952,0.030666666666666675,0.02799999999999997
66,-0.102,-0.04249999999999993,0.03350000000000003,0.005666666666666681,0.026000000000000023
67,0.376,-0.026000000000000023,-0.01200000000000001,-0.016999999999999987,0.03600000000000003
68,-0.04000000000000001,-0.06049999999999994,-0.1805,0.009333333333333332,0.006000000000000005
69,0.023999999999999994,-0.0020000000000000018,-0.065,0.013999999999999985,0.0040000000000000036
70,0.11599999999999999,-0.03149999999999997,0.021999999999999964,0.0030000000000000027,-0.023999999999999966
71,0.09600000000000002,-0.04300000000000004,0.09300000000000003,-0.06633333333333334,-0.02400000000000002
72,0.394,0.006000000000000005,-0.09049999999999997,0.0030000000000000027,-0.0040000000000000036
73,0.048000000000000015,-0.030000000000000027,-0.209,-0.02833333333333335,-0.0020000000000000018
74,-0.011999999999999997,0.003500000000000003,-0.15400000000000003,0.0050000000000000044,0.03400000000000003
75,0.04200000000000004,-0.04799999999999993,0.01050000000000001,0.015666666666666662,0.006000000000000005
76,0.18600000000000003,-0.027000000000000024,-0.034499999999999975,-0.04233333333333332,-0.006000000000000005
77,0.23600000000000002,0.045999999999999985,0.132,0.045666666666666675,-0.02200000000000002
78,-0.010000000000000009,-0.013500000000000012,0.09399999999999997,-0.002333333333333326,-0.016000000000000014
79,0.025999999999999995,-0.030999999999999972,-0.09199999999999997,-0.014999999999999986,-0.08600000000000002
80,-0.086,0.010499999999999954,-0.04200000000000004,0.03266666666666666,0.064
81,0.07200000000000001,-0.008500000000000008,-0.18000000000000002,-0.017333333333333326,0.006000000000000005
82,-0.102,-0.01200000000000001,-0.122,-0.08733333333333335,-0.064
83,-0.092,-0.010000000000000009,-0.1925,0.014666666666666661,-0.07800000000000001
84,-0.10199999999999998,-0.017000000000000015,0.184,-0.023999999999999994,-0.035999999999999976
85,-0.0040000000000000036,0.0035000000000000586,-0.08449999999999996,-0.0010000000000000009,0.03999999999999998
86,-0.062,-0.04750000000000004,-0.138,-0.004333333333333356,-0.06
87,0.044,0.026000000000000023,0.014000000000000012,-0.012999999999999984,0.020000000000000018
88,-0.06200000000000001,-0.017000000000000015,-0.01699999999999996,-0.039999999999999994,-0.02400000000000002
89,0.066,-0.006500000000000006,-0.07500000000000001,0.0040000000000000036,0.03600000000000003
90,0.057999999999999996,-0.0050000000000000044,-0.007500000000000007,-0.022333333333333316,-0.040000000000000036
91,0.10999999999999999,-0.0005000000000000004,-0.10549999999999998,0.07300000000000001,-0.023999999999999966
92,0.5,-0.014000000000000012,0.02150000000000002,-0.009000000000000008,0.038000000000000034
93,-0.006000000000000005,-0.03249999999999997,-0.08950000000000002,0.037333333333333316,0.0020000000000000018
94,-0.010000000000000009,-0.028500000000000025,-0.16449999999999998,-0.02200000000000002,0.01200000000000001
95,0.17200000000000001,-0.01649999999999996,-0.19049999999999997,0.03433333333333333,-0.0040000000000000036
96,-0.07400000000000001,-0.023499999999999965,-0.005499999999999949,0.03133333333333334,0.02999999999999997
97,0.464,0.02150000000000002,0.020999999999999963,-0.0016666666666666635,-0.018000000000000016
98,-0.106,-0.0020000000000000018,0.01899999999999996,-0.031666666666666676,0.08199999999999996
99,0.06799999999999998,0.0050000000000000044,-0.11599999999999999,-0.020333333333333342,0.02799999999999997
